dacs,△G*o,Z1,Z2,r1,r2,R1,R2,N1,N2,EP1,EP2,EA1,EA2,IE1,IE2
FeAg,1.7107839,26,47,126.0,144.0,194,203,8,11,1.83,1.93,0.153236,1.30447,7.9024,7.5762
ZnZn,2.9259959,30,30,134.0,134.0,210,210,12,12,1.65,1.65,-0.6,-0.6,9.3942,9.3942
CrRh,0.2640539,24,45,128.0,134.0,189,195,6,9,1.66,2.28,0.675928,1.14289,6.7665,7.4589
CoAu,2.3469729,27,79,125.0,144.0,192,217,9,11,1.88,2.4,0.662255,2.30861,7.881,9.2255
IrRu,3.0158979,77,44,135.5,134.0,202,207,9,8,2.2,2.2,1.564057,1.04627,8.967,7.3605
ZrTc,-2.5840771,40,43,160.0,136.0,186,209,4,7,1.33,2.1,0.433283,0.636,6.6339,7.28
OsOs,1.3664659,76,76,135.0,135.0,216,216,8,8,2.2,2.2,1.077661,1.077661,8.4382,8.4382
CdZn,1.6172109,48,30,148.9,134.0,230,210,12,12,1.69,1.65,-0.7,-0.6,8.9938,9.3942
MnRu,1.6900499,25,44,127.0,134.0,197,207,7,8,1.55,2.2,-0.5,1.04627,7.434,7.3605
ZnOs,2.0628739,30,76,134.0,135.0,210,216,12,8,1.65,2.2,-0.6,1.077661,9.3942,8.4382
ReV,-0.8947821,75,23,137.0,134.0,217,179,7,5,1.9,1.63,0.060396,0.52766,7.8335,6.7462
VCo,-1.0832291,23,27,134.0,125.0,179,192,5,9,1.63,1.88,0.52766,0.662255,6.7462,7.881
TcRh,-0.2365851,43,45,136.0,134.0,209,195,7,9,2.1,2.28,0.636,1.14289,7.28,7.4589
RuNi,1.3374199,44,28,134.0,124.0,207,184,8,10,2.2,1.91,1.04627,1.157368,7.3605,7.6399
TcMn,-0.1365551,43,25,136.0,127.0,209,197,7,7,2.1,1.55,0.636,-0.5,7.28,7.434
MnAu,1.0517429,25,79,127.0,144.0,197,217,7,11,1.55,2.4,-0.5,2.30861,7.434,9.2255
MoW,-2.0961441,42,74,139.0,139.0,209,210,6,6,2.16,1.7,0.74723,0.8165,7.0924,7.864
PdCo,4.4137839,46,27,137.0,125.0,202,192,10,9,2.2,1.88,0.56214,0.662255,8.3369,7.881
MoNb,-2.7877061,42,41,139.0,146.0,209,207,6,5,2.16,1.6,0.74723,0.9174,7.0924,6.7589
PdIr,4.0970579,46,77,137.0,135.5,202,202,10,9,2.2,2.2,0.56214,1.564057,8.3369,8.967
NiCo,4.1644059,28,27,124.0,125.0,184,192,10,9,1.91,1.88,1.157368,0.662255,7.6399,7.881
TiNb,-3.6172931,22,41,147.0,146.0,187,207,4,5,1.54,1.6,0.07554,0.9174,6.8281,6.7589
VRe,-1.1447291,23,75,134.0,137.0,179,217,5,7,1.63,1.9,0.52766,0.060396,6.7462,7.8335
CuRu,3.0636179,29,44,128.0,134.0,186,207,11,8,1.9,2.2,1.23578,1.04627,7.7264,7.3605
IrCr,3.0307009,77,24,135.5,128.0,202,189,9,6,2.2,1.66,1.564057,0.675928,8.967,6.7665
CdMn,1.0793529,48,25,148.9,127.0,230,197,12,7,1.69,1.55,-0.7,-0.5,8.9938,7.434
MnCr,1.1216689,25,24,127.0,128.0,197,189,7,6,1.55,1.66,-0.5,0.675928,7.434,6.7665
CoOs,3.2963289,27,76,125.0,135.0,192,216,9,8,1.88,2.2,0.662255,1.077661,7.881,8.4382
CoCr,3.4767789,27,24,125.0,128.0,192,189,9,6,1.88,1.66,0.662255,0.675928,7.881,6.7665
NiIr,3.7557279,28,77,124.0,135.5,184,202,10,9,1.91,2.2,1.157368,1.564057,7.6399,8.967
IrZn,1.7998959,77,30,135.5,134.0,202,210,9,12,2.2,1.65,1.564057,-0.6,8.967,9.3942
RhPt,2.6065219,45,78,134.0,138.5,195,209,9,10,2.28,2.2,1.14289,2.1251,7.4589,8.9588
NbMo,-2.8564941,41,42,146.0,139.0,207,209,5,6,1.6,2.16,0.9174,0.74723,6.7589,7.0924
OsCu,0.8088679,76,29,135.0,128.0,216,186,8,11,2.2,1.9,1.077661,1.23578,8.4382,7.7264
IrIr,3.2297339,77,77,135.5,135.5,202,202,9,9,2.2,2.2,1.564057,1.564057,8.967,8.967
TiCr,-1.4343791,22,24,147.0,128.0,187,189,4,6,1.54,1.66,0.07554,0.675928,6.8281,6.7665
RuIr,1.8412179,44,77,134.0,135.5,207,202,8,9,2.2,2.2,1.04627,1.564057,7.3605,8.967
OsCo,1.5356919,76,27,135.0,125.0,216,192,8,9,2.2,1.88,1.077661,0.662255,8.4382,7.881
