dacs,△G*oh,Z1,Z2,r1,r2,R1,R2,N1,N2,EP1,EP2,EA1,EA2,IE1,IE2
CuIr,0.83763145,29,77,128,135.5,186,202,11,9,1.9,2.2,1.23578,1.564057,7.7264,8.967
ZnMn,0.34569145,30,25,134,127,210,197,12,7,1.65,1.55,-0.6,-0.5,9.3942,7.434
ZnZn,0.41461045,30,30,134,134,210,210,12,12,1.65,1.65,-0.6,-0.6,9.3942,9.3942
ZnAg,0.15057145,30,47,134,144,210,203,12,11,1.65,1.93,-0.6,1.30447,9.3942,7.5762
ZnOs,-0.43331955,30,76,134,135,210,216,12,8,1.65,2.2,-0.6,1.077661,9.3942,8.4382
ZrTi,-4.56854855,40,22,160,147,186,187,4,4,1.33,1.54,0.433283,0.07554,6.6339,6.8281
ZrZr,-5.97739355,40,40,160,160,186,186,4,4,1.33,1.33,0.433283,0.433283,6.6339,6.6339
ZrTc,-3.62110155,40,43,160,136,186,209,4,7,1.33,2.1,0.433283,0.636,6.6339,7.28
ZrSn,-7.23764555,40,50,160,151,186,233,4,14,1.33,1.96,0.433283,1.11207,6.6339,7.3439
NbCu,-2.68464755,41,29,146,128,207,186,5,11,1.6,1.9,0.9174,1.23578,6.7589,7.7264
NbMo,-3.08096955,41,42,146,139,207,209,5,6,1.6,2.16,0.9174,0.74723,6.7589,7.0924
NbCd,-3.81294255,41,48,146,148.9,207,230,5,12,1.6,1.69,0.9174,-0.7,6.7589,8.9938
NbRe,-2.74072855,41,75,146,137,207,217,5,7,1.6,1.9,0.9174,0.060396,6.7589,7.8335
MoV,-1.56971555,42,23,139,134,209,179,6,5,2.16,1.63,0.74723,0.52766,7.0924,6.7462
MoNb,-1.99288055,42,41,139,146,209,207,6,5,2.16,1.6,0.74723,0.9174,7.0924,6.7589
MoW,-1.82345055,42,74,139,139,209,210,6,6,2.16,1.7,0.74723,0.8165,7.0924,7.864
TcMn,-0.06750155,43,25,136,127,209,197,7,7,2.1,1.55,0.636,-0.5,7.28,7.434
TcZr,-2.56482255,43,40,136,160,209,186,7,4,2.1,1.33,0.636,0.433283,7.28,6.6339
TcRh,-0.20443655,43,45,136,134,209,195,7,9,2.1,2.28,0.636,1.14289,7.28,7.4589
RuCr,0.54067045,44,24,134,128,207,189,8,6,2.2,1.66,1.04627,0.675928,7.3605,6.7665
RuNi,0.90373845,44,28,134,124,207,184,8,10,2.2,1.91,1.04627,1.157368,7.3605,7.6399
RuRu,0.80733345,44,44,134,134,207,207,8,8,2.2,2.2,1.04627,1.04627,7.3605,7.3605
RuAg,0.43357845,44,47,134,144,207,203,8,11,2.2,1.93,1.04627,1.30447,7.3605,7.5762
RuIr,0.81240545,44,77,134,135.5,207,202,8,9,2.2,2.2,1.04627,1.564057,7.3605,8.967
RhFe,1.75982645,45,26,134,126,195,194,9,8,2.28,1.83,1.14289,0.153236,7.4589,7.9024
RhZn,0.83911845,45,30,134,134,195,210,9,12,2.28,1.65,1.14289,-0.6,7.4589,9.3942
RhPd,1.11277245,45,46,134,137,195,202,9,10,2.28,2.2,1.14289,0.56214,7.4589,8.3369
RhOs,1.87364545,45,76,134,135,195,216,9,8,2.28,2.2,1.14289,1.077661,7.4589,8.4382
RhPt,1.12001445,45,78,134,138.5,195,209,9,10,2.28,2.2,1.14289,2.1251,7.4589,8.9588
PdCo,2.06075445,46,27,137,125,202,192,10,9,2.2,1.88,0.56214,0.662255,8.3369,7.881
PdRh,1.76984145,46,45,137,134,202,195,10,9,2.2,2.28,0.56214,1.14289,8.3369,7.4589
PdAg,1.76276645,46,47,137,144,202,203,10,11,2.2,1.93,0.56214,1.30447,8.3369,7.5762
PdIr,1.75876645,46,77,137,135.5,202,202,10,9,2.2,2.2,0.56214,1.564057,8.3369,8.967
PdAu,1.76321145,46,79,137,144,202,217,10,11,2.2,2.4,0.56214,2.30861,8.3369,9.2255
AgCo,1.86840645,47,27,144,125,203,192,11,9,1.93,1.88,1.30447,0.662255,7.5762,7.881
AgCu,1.80674345,47,29,144,128,203,186,11,11,1.93,1.9,1.30447,1.23578,7.5762,7.7264
AgPt,1.52520045,47,78,144,138.5,203,209,11,10,1.93,2.2,1.30447,2.1251,7.5762,8.9588
CdMn,-1.43726355,48,25,148.9,127,230,197,12,7,1.69,1.55,-0.7,-0.5,8.9938,7.434
CdZn,-0.89537355,48,30,148.9,134,230,210,12,12,1.69,1.65,-0.7,-0.6,8.9938,9.3942
