dacs,△G*ooh_true,△G*o_true,△G*oh_true,△G*ooh_pred,△G*o_pred,△G*oh_pred,Z_A,Z_B,r_A,r_B,R_A,R_B,N_A,N_B,EP_A,EP_B,EA_A,EA_B,IE_A,IE_B,d/p band_A,d/p band_B,dMAN,dMBN
MnRu,3.71241435,1.6900499,0.68791545,3.656217043,1.664370564,0.618053189,25,44,127,134,197,207,7,8,1.55,2.2,-0.5,1.04627,7.434,7.3605,-0.743,-1.58,1.8902375,1.9347175
MnIr,3.68313535,1.6780429,0.69041845,3.708122882,1.668078927,0.637007996,25,77,127,135.5,197,202,7,9,1.55,2.2,-0.5,1.564057,7.434,8.967,-0.911,-2.423,1.8901325,1.949415
MnAu,3.44301235,1.0517429,0.27586145,3.443514868,1.04556261,0.198029971,25,79,127,144,197,217,7,11,1.55,2.4,-0.5,2.30861,7.434,9.2255,-0.069,-5.631,1.880885,1.97421
FeMn,3.74053535,1.9831909,0.73502745,4.05425256,2.005112485,0.880758013,26,25,126,127,194,197,8,7,1.83,1.55,0.153236,-0.5,7.9024,7.434,-1.207,-0.621,1.885905,1.88608
FeNi,3.84575935,1.9898529,0.79635245,3.915317145,1.996686214,0.804372893,26,28,126,124,194,184,8,10,1.83,1.91,0.153236,1.157368,7.9024,7.6399,-0.42,-0.853,1.8656575,1.870755
FeAg,3.76706635,1.7107839,0.72552145,3.751285871,1.686739404,0.623756428,26,47,126,144,194,203,8,11,1.83,1.93,0.153236,1.30447,7.9024,7.5762,-0.77,-5.773,1.863215,1.9731625
FePt,3.80775335,1.9346059,0.77596145,3.751363763,1.949236804,0.822815071,26,78,126,138.5,194,209,8,10,1.83,2.2,0.153236,2.1251,7.9024,8.9588,-0.734,-2.799,1.87003,1.9564075
CoCr,4.62418135,3.4767789,1.73694345,4.548087005,3.454931156,1.521388275,27,24,125,128,192,189,9,6,1.88,1.66,0.662255,0.675928,7.881,6.7665,-1.181,-0.752,1.871655,1.88491
CoCo,4.53604635,3.2784769,1.52506845,4.547319367,3.205175998,1.746274218,27,27,125,125,192,192,9,9,1.88,1.88,0.662255,0.662255,7.881,7.881,-1.216,-1.214,1.8626,1.862735
CoPd,4.18005935,2.7381589,1.40872245,4.174088489,2.748222758,1.51622949,27,46,125,137,192,202,9,10,1.88,2.2,0.662255,0.56214,7.881,8.3369,-0.75,-2.474,1.85319,1.9522325
CoOs,4.57350135,3.2963289,1.68695445,4.533262201,3.287496921,1.557234452,27,76,125,135,192,216,9,8,1.88,2.2,0.662255,1.077661,7.881,8.4382,-1.547,-1.642,1.8791325,1.93067
CoAu,4.00178535,2.3469729,1.01235445,4.004352115,2.344981861,1.199779311,27,79,125,144,192,217,9,11,1.88,2.4,0.662255,2.30861,7.881,9.2255,-1.413,-4.689,1.84534,1.960035
NiCo,4.76580535,4.1644059,1.92014045,4.64356297,4.168840103,1.855320649,28,27,124,125,184,192,10,9,1.91,1.88,1.157368,0.662255,7.6399,7.881,-1.903,-0.658,1.8691675,1.855175
NiZn,4.46771135,3.7397039,1.70836545,4.486909764,3.7464451,1.731052995,28,30,124,134,184,210,10,12,1.91,1.65,1.157368,-0.6,7.6399,9.3942,-1.677,-5.716,1.8621025,1.940975
NiRh,4.61212335,3.8785669,1.68567145,4.588767393,3.878322723,1.657740499,28,45,124,134,184,195,10,9,1.91,2.28,1.157368,1.14289,7.6399,7.4589,-2.559,-2.072,1.8753325,1.9363925
NiIr,4.58012335,3.7557279,1.61785845,4.549010356,3.774993719,1.747803768,28,77,124,135.5,184,202,10,9,1.91,2.2,1.157368,1.564057,7.6399,8.967,-2.939,-2.447,1.8825575,1.942165
NiPt,4.67039935,3.8666129,1.76382445,4.28327376,3.834562411,1.637039851,28,78,124,138.5,184,209,10,10,1.91,2.2,1.157368,2.1251,7.6399,8.9588,-1.989,-3.304,1.85295,1.9468675
CuFe,4.52605935,3.9112749,1.75538545,4.552938666,3.662465926,1.558258848,29,26,128,126,186,194,11,8,1.9,1.83,1.23578,0.153236,7.7264,7.9024,-1.494,-0.659,1.9237725,1.8677
