dacs,△G*ooh,Z1,Z2,r1,r2,R1,R2,N1,N2,EP1,EP2,EA1,EA2,IE1,IE2
MoW,-3.72739665,42,74,139,139,209,210,6,6,2.16,1.7,0.74723,0.8165,7.0924,7.864
TcMn,3.04760835,43,25,136,127,209,197,7,7,2.1,1.55,0.636,-0.5,7.28,7.434
TcZr,-4.66554165,43,40,136,160,209,186,7,4,2.1,1.33,0.636,0.433283,7.28,6.6339
TcRh,2.90975735,43,45,136,134,209,195,7,9,2.1,2.28,0.636,1.14289,7.28,7.4589
RuCr,3.61030435,44,24,134,128,207,189,8,6,2.2,1.66,1.04627,0.675928,7.3605,6.7665
RuNi,3.94954735,44,28,134,124,207,184,8,10,2.2,1.91,1.04627,1.157368,7.3605,7.6399
RuRu,3.73734235,44,44,134,134,207,207,8,8,2.2,2.2,1.04627,1.04627,7.3605,7.3605
RuAg,3.49949535,44,47,134,144,207,203,8,11,2.2,1.93,1.04627,1.30447,7.3605,7.5762
RuIr,3.79905635,44,77,134,135.5,207,202,8,9,2.2,2.2,1.04627,1.564057,7.3605,8.967
RhFe,4.73554535,45,26,134,126,195,194,9,8,2.28,1.83,1.14289,0.153236,7.4589,7.9024
RhZn,4.06160235,45,30,134,134,195,210,9,12,2.28,1.65,1.14289,-0.6,7.4589,9.3942
RhPd,4.04935935,45,46,134,137,195,202,9,10,2.28,2.2,1.14289,0.56214,7.4589,8.3369
RhOs,4.74832735,45,76,134,135,195,216,9,8,2.28,2.2,1.14289,1.077661,7.4589,8.4382
RhPt,4.05737035,45,78,134,138.5,195,209,9,10,2.28,2.2,1.14289,2.1251,7.4589,8.9588
PdCo,4.94103235,46,27,137,125,202,192,10,9,2.2,1.88,0.56214,0.662255,8.3369,7.881
PdRh,4.67639735,46,45,137,134,202,195,10,9,2.2,2.28,0.56214,1.14289,8.3369,7.4589
PdAg,4.61759835,46,47,137,144,202,203,10,11,2.2,1.93,0.56214,1.30447,8.3369,7.5762
PdIr,4.73931335,46,77,137,135.5,202,202,10,9,2.2,2.2,0.56214,1.564057,8.3369,8.967
PdAu,4.59317835,46,79,137,144,202,217,10,11,2.2,2.4,0.56214,2.30861,8.3369,9.2255
AgCo,4.65274735,47,27,144,125,203,192,11,9,1.93,1.88,1.30447,0.662255,7.5762,7.881
AgCu,4.48289435,47,29,144,128,203,186,11,11,1.93,1.9,1.30447,1.23578,7.5762,7.7264
AgPt,4.19499935,47,78,144,138.5,203,209,11,10,1.93,2.2,1.30447,2.1251,7.5762,8.9588
CdMn,1.85849135,48,25,148.9,127,230,197,12,7,1.69,1.55,-0.7,-0.5,8.9938,7.434
CdZn,2.36158335,48,30,148.9,134,230,210,12,12,1.69,1.65,-0.7,-0.6,8.9938,9.3942
SnFe,1.43601935,50,26,151,126,233,194,14,8,1.96,1.83,1.11207,0.153236,7.3439,7.9024
SnZr,-5.19304865,50,40,151,160,233,186,14,4,1.96,1.33,1.11207,0.433283,7.3439,6.6339
SnPd,1.59626335,50,46,151,137,233,202,14,10,1.96,2.2,1.11207,0.56214,7.3439,8.3369
SnAu,0.51677235,50,79,151,144,233,217,14,11,1.96,2.4,1.11207,2.30861,7.3439,9.2255
WTi,-4.69988765,74,22,139,147,210,187,6,4,1.7,1.54,0.8165,0.07554,7.864,6.8281
WNi,-1.60256565,74,28,139,124,210,184,6,10,1.7,1.91,0.8165,1.157368,7.864,7.6399
WTc,-2.78276465,74,43,139,136,210,209,6,7,1.7,2.1,0.8165,0.636,7.864,7.28
WSn,-5.34158065,74,50,139,151,210,233,6,14,1.7,1.96,0.8165,1.11207,7.864,7.3439
ReV,-2.14034665,75,23,137,134,217,179,7,5,1.9,1.63,0.060396,0.52766,7.8335,6.7462
ReMo,-2.46496765,75,42,137,139,217,209,7,6,1.9,2.16,0.060396,0.74723,7.8335,7.0924
ReW,2.11141535,75,74,137,139,217,210,7,6,1.9,1.7,0.060396,0.8165,7.8335,7.864
RePt,0.33023435,75,78,137,138.5,217,209,7,10,1.9,2.2,0.060396,2.1251,7.8335,8.9588
OsMn,4.07447435,76,25,135,127,216,197,8,7,2.2,1.55,1.077661,-0.5,8.4382,7.434
OsCo,3.99072535,76,27,135,125,216,192,8,9,2.2,1.88,1.077661,0.662255,8.4382,7.881
OsCu,3.82895635,76,29,135,128,216,186,8,11,2.2,1.9,1.077661,1.23578,8.4382,7.7264
OsPd,3.90104335,76,46,135,137,216,202,8,10,2.2,2.2,1.077661,0.56214,8.4382,8.3369
OsOs,3.68277035,76,76,135,135,216,216,8,8,2.2,2.2,1.077661,1.077661,8.4382,8.4382
IrCr,4.77034035,77,24,135.5,128,202,189,9,6,2.2,1.66,1.564057,0.675928,8.967,6.7665
IrFe,4.79767535,77,26,135.5,126,202,194,9,8,2.2,1.83,1.564057,0.153236,8.967,7.9024
IrZn,4.21332035,77,30,135.5,134,202,210,9,12,2.2,1.65,1.564057,-0.6,8.967,9.3942
IrRu,4.61291835,77,44,135.5,134,202,207,9,8,2.2,2.2,1.564057,1.04627,8.967,7.3605
IrAg,3.64306135,77,47,135.5,144,202,203,9,11,2.2,1.93,1.564057,1.30447,8.967,7.5762
IrIr,4.76553835,77,77,135.5,135.5,202,202,9,9,2.2,2.2,1.564057,1.564057,8.967,8.967
IrAu,3.47036435,77,79,135.5,144,202,217,9,11,2.2,2.4,1.564057,2.30861,8.967,9.2255
PtFe,4.88199035,78,26,138.5,126,209,194,10,8,2.2,1.83,2.1251,0.153236,8.9588,7.9024
PtCu,4.57138635,78,29,138.5,128,209,186,10,11,2.2,1.9,2.1251,1.23578,8.9588,7.7264
PtRh,4.75004835,78,45,138.5,134,209,195,10,9,2.2,2.28,2.1251,1.14289,8.9588,7.4589
PtOs,4.66903135,78,76,138.5,135,209,216,10,8,2.2,2.2,2.1251,1.077661,8.9588,8.4382
PtAu,4.62128135,78,79,138.5,144,209,217,10,11,2.2,2.4,2.1251,2.30861,8.9588,9.2255
AuNi,4.95455435,79,28,144,124,217,184,11,10,2.4,1.91,2.30861,1.157368,9.2255,7.6399
AuPd,4.75078035,79,46,144,137,217,202,11,10,2.4,2.2,2.30861,0.56214,9.2255,8.3369
AuPt,4.69946335,79,78,144,138.5,217,209,11,10,2.4,2.2,2.30861,2.1251,9.2255,8.9588
AuAu,4.39701935,79,79,144,144,217,217,11,11,2.4,2.4,2.30861,2.30861,9.2255,9.2255
